id,name,state_id/id
ciudad_2,Aguascalientes,base.state_mx_ags
ciudad_8,Asientos,base.state_mx_ags
ciudad_9,Calvillo,base.state_mx_ags
ciudad_5,Cosío,base.state_mx_ags
ciudad_10,Jesús María ,base.state_mx_ags
ciudad_7,Pabellón de Arteaga,base.state_mx_ags
ciudad_4,Rincón de Romos,base.state_mx_ags
ciudad_3,San Francisco de los Romo,base.state_mx_ags
ciudad_6,Tepezalá,base.state_mx_ags
ciudad_17,Ensenada,base.state_mx_bc
ciudad_11,Mexicali,base.state_mx_bc
ciudad_15,Playas de Rosarito,base.state_mx_bc
ciudad_16,Rodolfo Sánchez T. (Maneadero),base.state_mx_bc
ciudad_13,San Felipe,base.state_mx_bc
ciudad_12,Tecate,base.state_mx_bc
ciudad_14,Tijuana,base.state_mx_bc
ciudad_21,Cabo San Lucas,base.state_mx_bcs
ciudad_22,Ciudad Constitución,base.state_mx_bcs
ciudad_28,Guerrero Negro,base.state_mx_bcs
ciudad_25,Heroica Mulegé,base.state_mx_bcs
ciudad_18,La Paz,base.state_mx_bcs
ciudad_24,Loreto,base.state_mx_bcs
ciudad_23,Puerto Adolfo López Mateos,base.state_mx_bcs
ciudad_26,San Ignacio,base.state_mx_bcs
ciudad_20,San José del Cabo,base.state_mx_bcs
ciudad_19,Todos Santos,base.state_mx_bcs
ciudad_27,Villa Alberto Andrés Alvarado Arámburo,base.state_mx_bcs
ciudad_38,Calkini,base.state_mx_camp
ciudad_32,Candelaria,base.state_mx_camp
ciudad_34,Champotón,base.state_mx_camp
ciudad_30,Ciudad del Carmen,base.state_mx_camp
ciudad_33,Escárcega,base.state_mx_camp
ciudad_36,Hecelchakán,base.state_mx_camp
ciudad_35,Hopelchén,base.state_mx_camp
ciudad_37,Pomuch,base.state_mx_camp
ciudad_31,Sabancuy,base.state_mx_camp
ciudad_29,San Francisco de Campeche,base.state_mx_camp
ciudad_96,Bachíniva,base.state_mx_chih
ciudad_93,Chihuahua,base.state_mx_chih
ciudad_95,Colonia Anáhuac,base.state_mx_chih
ciudad_94,Cuauhtémoc,base.state_mx_chih
ciudad_102,Delicias,base.state_mx_chih
ciudad_105,Hidalgo del Parral,base.state_mx_chih
ciudad_106,José Mariano Jiménez,base.state_mx_chih
ciudad_101,Juan Aldama,base.state_mx_chih
ciudad_99,Juárez,base.state_mx_chih
ciudad_98,Madera,base.state_mx_chih
ciudad_100,Manuel Ojinaga,base.state_mx_chih
ciudad_97,Nuevo Casas Grandes,base.state_mx_chih
ciudad_104,Santa Rosalía de Camargo,base.state_mx_chih
ciudad_103,Saucillo,base.state_mx_chih
ciudad_72,Acala,base.state_mx_chis
ciudad_83,Arriaga,base.state_mx_chis
ciudad_91,Cacahoatán,base.state_mx_chis
ciudad_70,Chiapa de Corzo,base.state_mx_chis
ciudad_81,Cintalapa de Figueroa,base.state_mx_chis
ciudad_77,Comitán de Domínguez,base.state_mx_chis
ciudad_88,Huixtla,base.state_mx_chis
ciudad_82,Jiquipilas,base.state_mx_chis
ciudad_78,Las Margaritas,base.state_mx_chis
ciudad_80,Las Rosas,base.state_mx_chis
ciudad_87,Mapastepec,base.state_mx_chis
ciudad_92,Motozintla de Mendoza,base.state_mx_chis
ciudad_75,Ocosingo,base.state_mx_chis
ciudad_69,Ocozocoautla de Espinosa,base.state_mx_chis
ciudad_76,Palenque,base.state_mx_chis
ciudad_74,Pichucalco,base.state_mx_chis
ciudad_86,Pijijiapan,base.state_mx_chis
ciudad_90,Puerto Madero (San Benito),base.state_mx_chis
ciudad_73,Reforma,base.state_mx_chis
ciudad_71,San Cristóbal de las Casas,base.state_mx_chis
ciudad_89,Tapachula de Córdova y Ordóñez,base.state_mx_chis
ciudad_85,Tonalá,base.state_mx_chis
ciudad_68,Tuxtla Gutiérrez,base.state_mx_chis
ciudad_79,Venustiano Carranza,base.state_mx_chis
ciudad_84,Villaflores,base.state_mx_chis
ciudad_66,Ciudad de Armería,base.state_mx_col
ciudad_67,Ciudad de Villa de Álvarez,base.state_mx_col
ciudad_63,Colima,base.state_mx_col
ciudad_65,Manzanillo,base.state_mx_col
ciudad_64,Tecoman,base.state_mx_col
ciudad_1,Ciudad de México,base.state_mx_df
ciudad_108,Canatlán,base.state_mx_dgo
ciudad_117,Ciudad Lerdo,base.state_mx_dgo
ciudad_115,El Salto,base.state_mx_dgo
ciudad_112,Francisco I. Madero,base.state_mx_dgo
ciudad_116,Gómez Palacio,base.state_mx_dgo
ciudad_113,Nombre de Dios,base.state_mx_dgo
ciudad_111,Peñón Blanco,base.state_mx_dgo
ciudad_109,San Juan del Río del Centauro del Norte,base.state_mx_dgo
ciudad_118,Santa María del Oro,base.state_mx_dgo
ciudad_110,Santiago Papasquiaro,base.state_mx_dgo
ciudad_114,Vicente Guerrero,base.state_mx_dgo
ciudad_107,Victoria de Durango,base.state_mx_dgo
ciudad_161,Acapulco de Juárez,base.state_mx_gro
ciudad_171,Arcelia,base.state_mx_gro
ciudad_183,Atoyac de Álvarez,base.state_mx_gro
ciudad_160,Ayutla de los Libres,base.state_mx_gro
ciudad_194,Azoyú,base.state_mx_gro
ciudad_169,Buenavista de Cuellar,base.state_mx_gro
ciudad_187,Chilapa de Álvarez,base.state_mx_gro
ciudad_157,Chilpancingo de los Bravo,base.state_mx_gro
ciudad_175,Ciudad Altamirano,base.state_mx_gro
ciudad_172,Ciudad Apaxtla de Castrejón,base.state_mx_gro
ciudad_193,Copala,base.state_mx_gro
ciudad_185,Coyuca de Benítez,base.state_mx_gro
ciudad_176,Coyuca de Catalán,base.state_mx_gro
ciudad_192,Cruz Grande,base.state_mx_gro
ciudad_196,Cuajinicuilapa,base.state_mx_gro
ciudad_174,Cutzamala de Pinzón,base.state_mx_gro
ciudad_188,Huamuxtitlan,base.state_mx_gro
ciudad_165,Huitzuco,base.state_mx_gro
ciudad_164,Iguala de la Independencia,base.state_mx_gro
ciudad_177,La Unión,base.state_mx_gro
ciudad_195,Marquelia,base.state_mx_gro
ciudad_158,Ocotito,base.state_mx_gro
